Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
daratumumab,Darzalex,5/6/13,Treatment of multiple myeloma,Designated/Approved,,,"DARZALEX is indicated in combination with lenalidomide and dexamethasone, or bortezomib and dexamethasone, for the treatment of patients with multiple myeloma who have received at least one prior therapy; and as monotherapy, for the treatment of patients with multiple myeloma who have received at least three prior lines of therapy including a proteasome inhibitor (PI) and an immunomodulatory agent or who are double-refractory to a PI and an immunomodulatory agent.",11/21/16,11/21/23,"DARZALEX in combination with lenalidomide and dexamethasone, or bortezomib and dexamethasone, for the treatment of patients with multiple myeloma who have received at least one prior therapy.","Janssen Biotech, Inc.",920 Route 202 South,PO Box 300,Raritan,New Jersey,08869 ',United States,397113,"DARZALEX is indicated In combination with lenalidomide and dexamethasone, or bortezomib and dexamethasone, For patients with multiple myeloma who have received at least one prior therapy; and as monotherapy, For patients with multiple myeloma who have received at least three prior lines of therapy including a proteasome inhibitor (PI) and an immunomodulatory agent or who are double-refractory to a PI and an immunomodulatory agent."
daratumumab and hyaluronidase-fihj,Darzalex Faspro,10/6/20,treatment of light-chain (AL) amyloidosis,Designated/Approved,,,"in combination with bortezomib, cyclophosphamide and dexamethasone for the treatment of adult patients with newly diagnosed light chain (AL) amyloidosis",1/15/21,1/15/28,treatment of adult patients with newly diagnosed light chain (AL) amyloidosis,"Janssen Research & Development, LLC",1400 McKean Road,PO Box 776,Spring House,Pennsylvania,19477 ',United States,769220,"In combination with bortezomib, cyclophosphamide and dexamethasone For adult patients with newly diagnosed light chain (AL) amyloidosis"
dasatinib,Sprycel,11/28/05,Treatment of chronic myelogenous leukemia,Designated/Approved,,,Treatment of pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase,11/9/17,11/9/24,Treatment of pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase,Bristol-Myers Squibb Company,"3401 Princeton Pike, B-3043C",,Lawrence Township,New Jersey,08648 ',United States,212405,For pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase
Dasatinib,Sprycel,11/18/05,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,,SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in combination with chemotherapy.,12/21/18,12/21/25,SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in combination with chemotherapy.,Bristol-Myers Squibb Company,P. O Box 5326,Mailstop C 4065,Princeton,New Jersey,08542 ',United States,214605,SPRYCEL (dasatinib) is For pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL In combination with chemotherapy.
dasatinib,Sprycel,11/28/05,Treatment of chronic myelogenous leukemia,Designated/Approved,,,Treatment of adults with chronic myeloid leukemia with resistance or intolerance to prior therapy including imatinib,6/28/06,6/28/13,,Bristol-Myers Squibb Company,"3401 Princeton Pike, B-3043C",,Lawrence Township,New Jersey,08648 ',United States,212405,For adults with chronic myeloid leukemia with resistance or intolerance to prior therapy including imatinib
Dasatinib,Sprycel,11/18/05,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,,Treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy,6/28/06,6/28/13,,Bristol-Myers Squibb Company,P. O Box 5326,Mailstop C 4065,Princeton,New Jersey,08542 ',United States,214605,For adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy
dasatinib,Phyrago,10/5/21,Treatment of chronic myelogenous leukemia,Designated/Approved,,,"treatment of adult patients with: newly diagnosed Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase; or chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib",12/5/23,,,"Nanocopoeia, LLC",639 Campus Drive,,New Brighton,Minnesota,55112 ',United States,750420,"For adult patients with: newly diagnosed Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase; or chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib"
dasatinib,Phyrago,10/5/21,Treatment of acute lymphoblastic leukemia,Designated/Approved,,,treatment of adult patients with Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy,12/5/23,,,"Nanocopoeia, LLC",639 Campus Drive,,New Brighton,Minnesota,55112 ',United States,750520,For adult patients with Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy
Daunorubicin citrate liposome injection,DaunoXome,5/14/93,Treatment of patients with advanced HIV-associated Kaposi's sarcoma.,Designated/Approved,,,"First line cytotoxic therapy for advanced, HIV related Kaposi's sarcoma.",4/8/96,4/8/03,,"NeXstar Pharmaceuticals, Inc.",650 Cliffside Drive,,San Dimas,California,91773 ',United States,73693,"First line cytotoxic therapy for advanced, HIV related Kaposi's sarcoma."
daxibotulinumtoxinA-lanm,Daxxify,11/16/17,Treatment of cervical dystonia,Designated/Approved,,,treatment of cervical dystonia in adult patients,8/11/23,,,"Revance Therapeutics, Inc.",7555 Gateway Boulevard,,Newark,California,94560 ',United States,579317,For cervical dystonia in adult patients
decitabine,Dacogen,3/8/99,Treatment of myelodysplastic syndromes.,Designated/Approved,,,"for treatment of patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups",5/2/06,5/2/13,,Otsuka Pharmaceutical Development,"and Commercialization, Inc.",508 Carnegie Center Drive,Princeton,New Jersey,08540 ',United States,122298,"For patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups"
deferasirox,Exjade; Jadenu Sprinkles,2/24/15,Treatment of chronic iron overload in alpha-thalassemia,Designated/Approved,,,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L.,5/18/17,,,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,07936 ',United States,354411,For chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L.
deferasirox,Exjade; Jadenu Sprinkles,2/24/15,Treatment of chronic iron overload in alpha-thalassemia,Designated/Approved,,,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and serum ferritin greater than 300 mcg/L.,1/23/13,1/23/20,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and serum ferritin greater than 300 mcg/L.,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,07936 ',United States,354411,For chronic iron overload in patients 10 years of age and older with non-transfusion dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and serum ferritin greater than 300 mcg/L.
Deferasirox,Exjade; Jadenu Sprinkles,11/21/02,Treatment of chronic iron overload in patients with transfusion-dependent anemias,Designated/Approved,,,Treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age or older,11/2/05,11/2/12,,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Hampshire,07936 ',United States,161002,For chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age or older
Deferasirox,Exjade; Jadenu Sprinkles,11/21/02,Treatment of chronic iron overload in patients with transfusion-dependent anemias,Designated/Approved,,,treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older,5/18/17,,,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Hampshire,07936 ',United States,161002,For chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older
deferiprone,Ferriprox,12/12/01,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy,Designated/Approved,,,Treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate,10/14/11,10/14/18,,"Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,27518 ',United States,150701,For patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate
deferiprone,Ferriprox,12/12/01,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy,Designated/Approved,,,Ferriprox (deferiprone) is indicated for the treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate.,5/19/20,,,"Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,27518 ',United States,150701,Ferriprox (deferiprone) is For patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate.
deferiprone,Ferriprox,12/12/01,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy,Designated/Approved,,,treatment of transfusional iron overload in adult and pediatric patients 8 years of age and older with thalassemia syndromes; and treatment of transfusional iron overload in adult and pediatric patients 8 years of age and older with sickle cell disease or other anemias,4/30/21,4/30/28,"treatment of transfusional iron overload in adult patients with thalassemia syndromes excluding adult patients covered by the indication for thalassemia syndromes approved on October 14, 2011; treatment of transfusional iron overload in pediatric patients 8 years of age and older with thalassemia syndromes; and treatment of transfusional iron overload in adult and pediatric patients 8 years of age and older with sickle cell disease or other anemias","Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,27518 ',United States,150701,For transfusional iron overload in adult and pediatric patients 8 years of age and older with thalassemia syndromes; and For transfusional iron overload in adult and pediatric patients 8 years of age and older with sickle cell disease or other anemias
deferiprone,Ferriprox,12/12/01,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy,Designated/Approved,,,treatment of transfusional iron overload in adult and pediatric patients 3 years of age and older with thalassemia syndromes; and treatment of transfusional iron overload in adult and pediatric patients 3 years of age and older with sickle cell disease or other anemias,4/30/21,4/30/28,"treatment of transfusional iron overload in adult patients with thalassemia syndromes excluding adult patients covered by the indication for thalassemia syndromes approved on October 14, 2011; treatment of transfusional iron overload in pediatric patients 3 years of age and older with thalassemia syndromes; and treatment of transfusional iron overload in adult and pediatric patients 3 years of age and older with sickle cell disease or other anemias","Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,27518 ',United States,150701,For transfusional iron overload in adult and pediatric patients 3 years of age and older with thalassemia syndromes; and For transfusional iron overload in adult and pediatric patients 3 years of age and older with sickle cell disease or other anemias
defibrotide,Defitelio,5/21/03,For the treatment of hepatic veno-occlusive disease,Designated/Approved,,,"For the treatment of adult and pediatric patients with hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem cell transplantation (HSCT).",3/30/16,3/30/23,"For the treatment of adult and pediatric patients with hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem cell transplantation (HSCT).","Jazz Pharmaceuticals, Inc.",3180 Porter Drive,,Palo Alto,California,94304 ',United States,168803,"For adult and pediatric patients with hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem cell transplantation (HSCT)."
deflazacort,Emflaza,8/16/13,Treatment of Duchenne muscular dystrophy,Designated/Approved,,,EMFLAZA is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients 2 years of age and older.,6/7/19,6/7/26,For the treatment of Duchene muscular dystrophy in patients 2 years of age to less than 5 years of age,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,07080 ',United States,403413,EMFLAZA is For Duchenne muscular dystrophy (DMD) in patients 2 years of age and older.
deflazacort,Emflaza,8/16/13,Treatment of Duchenne muscular dystrophy,Designated/Approved,,,Treatment of Duchenne Muscular Dystrophy in patients 5 years of age and older,2/9/17,2/9/24,Treatment of Duchenne Muscular Dystrophy in patients 5 years of age and older,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,07080 ',United States,403413,For Duchenne Muscular Dystrophy in patients 5 years of age and older
dehydrated alcohol,Ablysinol,9/11/13,Treatment of hypertrophic obstructive cardiomyopathy,Designated/Approved,,,ABLYSINOL is indicated to induce controlled cardiac septal infarction to improve exercise capacity in adults with symptomatic hypertrophic obstructive cardiomyopathy who are not candidates for surgical myectomy.,6/21/18,6/21/25,ABLYSINOL is indicated to induce controlled cardiac septal infarction to improve exercise capacity in adults with symptomatic hypertrophic obstructive cardiomyopathy who are not candidates for surgical myectomy.,"Belcher Pharmaceuticals, LLC",6911 Bryan Dairy Road,,Largo,Florida,33777 ',United States,402513,ABLYSINOL is indicated to induce controlled cardiac septal infarction to improve exercise capacity in adults with symptomatic hypertrophic obstructive cardiomyopathy who are not candidates for surgical myectomy.
delandistrogene moxeparvovec-rokl,Elevidys,6/21/18,Treatment of Duchenne Muscular Dystrophy,Designated/Approved,,,treatment of ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene,6/22/23,6/22/30,treatment of ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene,"Sarepta Therapeutics, Inc.",215 First Street,,Cambridge,Massachusetts,02142 ',United States,641318,For ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene
delandistrogene moxeparvovec-rokl,Elevidys,6/21/18,Treatment of Duchenne Muscular Dystrophy,Designated/Approved,,,"treatment of Duchenne muscular dystrophy (DMD) in individuals at least 4 years of age for patients who are ambulatory and have a confirmed mutation in the DMD gene, and for patients who are non-ambulatory and have a confirmed mutation in the DMD gene",6/20/24,6/20/31,"treatment of Duchenne muscular dystrophy (DMD) in individuals greater than 5 years of age who are ambulatory and have a confirmed mutation in the DMD gene, and treatment of DMD in individuals at least 4 years of age who are non-ambulatory and have a confirmed mutation in the DMD gene","Sarepta Therapeutics, Inc.",215 First Street,,Cambridge,Massachusetts,02142 ',United States,641318,"For Duchenne muscular dystrophy (DMD) in individuals at least 4 years of age for patients who are ambulatory and have a confirmed mutation in the DMD gene, and for patients who are non-ambulatory and have a confirmed mutation in the DMD gene"
denileukin diftitox,Ontak,8/21/96,Treatment of patients with cutaneous T-cell lymphoma,Designated/Approved,,,Treatment of patients with persistent or recurrent cutaneous T-cell lymphoma whose malignant cells express the CD25 component of the IL-2 receptor.,2/5/99,2/5/06,,"Eisai, Inc.",300 Tice Boulevard,,Woodcliff Lake,New Jersey,07677 ',United States,99396,For patients with persistent or recurrent cutaneous T-cell lymphoma whose malignant cells express the CD25 component of the IL-2 receptor.
denileukin diftitox-cxdl,Lymphir,7/12/13,Treatment of cutaneous T-cell lymphoma,Designated/Approved,,,treatment of adult patients with relapsed or refractory Stage I-III cutaneous T-cell lymphoma (CTCL) after at least one prior systemic therapy,8/7/24,,,"Citius Pharmaceuticals, Inc.","11 Commerce Drive, 1st Floor",,Cranford,New Jersey,07016 ',United States,341311,For adult patients with relapsed or refractory Stage I-III cutaneous T-cell lymphoma (CTCL) after at least one prior systemic therapy
denosumab,XGEVA,9/11/13,Treatment of hypercalcemia in malignancy,Designated/Approved,,,To treat hypercalcemia of malignancy refractory to biphosphonate therapy.,12/5/14,12/5/21,To treat hypercalcemia of malignancy refractory to biphosphonate therapy.,"Amgen, Inc.",One Amgen Center Drive,MS 17-2-C,Thousand Oaks,California,91320 ',United States,404213,To treat hypercalcemia of malignancy refractory to biphosphonate therapy.
denosumab,Xgeva,12/20/10,Treatment of patients with giant cell tumor of bone,Designated/Approved,,,Treatment of adults and skeletally mature adolescents with giant cell tumor of bone that is unresectable or where surgical resection is likely to result in severe morbidity.,6/13/13,6/13/20,Treatment of adults and skeletally mature adolescents with giant cell tumor of bone that is unresectable or where surgical resection is likely to result in severe morbidity.,"Amgen, Inc.",One Amgen Center Drive,,Thousand Oaks,California,91320 ',United States,324110,For adults and skeletally mature adolescents with giant cell tumor of bone that is unresectable or where surgical resection is likely to result in severe morbidity.
Desmopressin acetate,,1/22/91,Treatment of mild hemophilia A and von Willebrand's disease.,Designated/Approved,,,Treatment of patients with hemophilia A or von Willebrand's disease (type I) whose factor VIII coagulant activity level is greater than 5%.,3/7/94,3/7/01,,"Ferring Pharmaceuticals, Inc.",100 Interpace Parkway,,Parsippany-Troy Hills,New Jersey,07054 ',United States,51490,For patients with hemophilia A or von Willebrand's disease (type I) whose factor VIII coagulant activity level is greater than 5%.
dexamethasone,Hemady,3/26/18,Treatment of multiple myeloma (MM),Designated/Approved,,,HEMADY is indicated in combination with other anti-myeloma products for the treatment of adults with multiple myeloma,10/3/19,10/3/26,Indicated in combination with other anti-myeloma products for the treatment of adults with multiple myeloma (MM).,Dexcel Pharma Technologies Ltd,Dexcel Street,,Or Akiva,Haifa District,',Israel,626318,HEMADY is indicated In combination with other anti-myeloma products For adults with multiple myeloma
dexamethasone intravitreal implant,Ozurdex,9/11/98,"Treatment of non-infectious ocular inflammation of the posterior segment in patients with intermediate, posterior, and panuveitis",Designated/Approved,,,For treatment of non-infectious uveitis affecting the posterior segment of the eye,9/24/10,9/24/17,,Allergan,2525 Dupont Drive,,Irvine,California,92623 ',United States,115298,For non-infectious uveitis affecting the posterior segment of the eye
dexrazoxane,Totect(r),3/25/04,Treatment of anthracycline extravasation during chemotherapy,Designated/Approved,,,Treatment of extravasation resulting from IV anthracycline chemotherapy,9/6/07,9/6/14,,"Clinigen, Inc.",790 Township Line Road,Suite 120,Yardley,Pennsylvania,19067 ',United States,181103,For extravasation resulting from IV anthracycline chemotherapy
Dexrazoxane,Zinecard,12/17/91,For the prevention of cardiomyopathy associated with doxorubicin administration.,Designated/Approved,,,Cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative dose of 300mg/m2.,5/26/95,5/26/02,,Pharmacia & Upjohn,7000 Portage Road,,Kalamazoo,Michigan,49001 ',United States,63291,Cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative dose of 300mg/m2.
diazepam (intranasal),VALTOCO,11/16/15,Management of acute repetitive seizures,Designated/Approved,,,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patients usual seizure pattern in patients with epilepsy 6 years of age and older.",1/10/20,1/10/27,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patients usual seizure pattern in patients with epilepsy 6 years of age and older.","Neurelis Pharmaceuticals, Inc.",11682 El Camino Reall,Suite 255,San Diego,California,92130 ',United States,382512,"Acute For intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patients usual seizure pattern in patients with epilepsy 6 years of age and older."
Diazepam viscous solution for rectal administration,Diastat,2/25/92,"For the management of selected, refractory, patients with epilepsy, on stable regimens of antiepileptic drugs (AEDs), who require intermittent use of diazepam to control bouts of increased seizure activity.",Designated/Approved,,,,7/29/97,7/29/04,,Valeant Pharmaceuticals,3300 Hyland Avenue,,Costa Mesa,California,92626 ',United States,61591,
diazoxide choline,Vykat XR,5/13/14,Treatment of Prader-Willi Syndrome,Designated/Approved,,,treatment of hyperphagia in adults and pediatric patients 4 years of age and older with Prader-Willi syndrome (PWS),3/26/25,,,"Soleno Therapeutics, Inc.","100 Marine Parkway, Suite 400",,Redwood City,California,94065 ',United States,428214,For hyperphagia in adults and pediatric patients 4 years of age and older with Prader-Willi syndrome (PWS)
dichlorphenamide,,9/2/10,Treatment of primary periodic paralyses,Designated/Approved,,,"Treatment of primary hyperkalemic periodic paralysis, primary hypokalemic period paralysis, and related variants",8/7/15,8/7/22,"Treatment of primary hyperkalemic periodic paralysis, primary hypokalemic period paralysis, and related variants","Xeris Pharmaceuticals, Inc.","180 N La Salle Street, Suite 1600",,Chicago,Illinois,60601 ',United States,314210,"For primary hyperkalemic periodic paralysis, primary hypokalemic period paralysis, and related variants"
Diethylenetriaminepentaacetic acid (DTPA),,4/28/04,"Treatment of patients with known or suspected internal contamination with plutonium, americium, or curium to increase the rates of elimination.",Designated/Approved,,,"Treatment of internal contamination with plutonium, americium or curium",8/11/04,8/11/11,,Hameln Pharmaceuticals gmbh,Langes Feld 13,,Hameln,,',Germany,186804,"For internal contamination with plutonium, americium or curium"
difluprednate,Durezol,9/30/08,Treatment of endogenous and traumatic anterior uveitis and panuveitis.,Designated/Approved,,,Treatment of endogenous anterior uveitis,6/13/12,6/13/19,,Alcon Pharmaceuticals. Ltd.,Route Des Arsenaux 41,(P.O. Box 61),Fribourg,,',Switzerland,265608,For endogenous anterior uveitis
Digoxin immune FAB (Ovine),Digibind,11/1/84,Treatment of potentially life threatening digitalis intoxication in patients who are refractory to management by conventional therapy.,Designated/Approved,,,,4/22/86,4/22/93,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,27709 ',United States,2584,
dinutuximab,Unituxin,12/20/10,Treatment of neuroblastoma,Designated/Approved,,,"For use in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin-2 (IL-2) and 13-cis-retinoic acid (RA), for the treatment of pediatric patients with high-risk neuroblastoma who achieve at least a partial response to prior first-line multiagent, multimodality therapy",3/10/15,3/10/22,"For use in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin-2 (IL-2) and 13-cis-retinoic acid (RA), for the treatment of pediatric patients with high-risk neuroblastoma who achieve at least a partial response to prior first-line multiagent, multimodality therapy",United Therapeutics Corporation,55 TW Alexander Drive,,Research Triangle Park,North Carolina,27709 ',United States,324210,"For use In combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin-2 (IL-2) and 13-cis-retinoic acid (RA), For pediatric patients with high-risk neuroblastoma who achieve at least a partial response to prior first-line multiagent, multimodality therapy"
donislecel-jujn,Lantidra,2/1/17,Treatment of Brittle Type 1 Diabetes,Designated/Approved,,,treatment of adults with Type 1 diabetes who are unable to approach target HbA1c because of current repeated episodes of severe hypoglycemia despite intensive diabetes management and education (exclusivity waived),6/28/23,,,CellTrans Inc.,2201 W. Campbell Park Drive,,Chicago,Illinois,60612 ',United States,549916,For adults with Type 1 diabetes who are unable to approach target HbA1c because of current repeated episodes of severe hypoglycemia despite intensive diabetes management and education (exclusivity waived)
Dornase alfa,Pulmozyme,1/16/91,To reduce mucous viscosity and enable the clearance of airway secretions in patients with cystic fibrosis.,Designated/Approved,,,In conjunction with standard therapies in the management of cystic fibrosis patients to reduce the frequency of respiratory infections requiring parenteral antibiotics and to improve pulmonary function.,12/30/93,12/30/00,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,94080 ',United States,48090,In conjunction with standard therapies in the management of cystic fibrosis patients to reduce the frequency of respiratory infections requiring parenteral antibiotics and to improve pulmonary function.
doxorubicin HCL liposome injection,Doxil,12/29/04,Treatment of multiple myeloma,Designated/Approved,,,For use in combination with bortezomib for the treatment of patients with multiple myeloma who have not previously received bortezomib and have at least one prior therapy.,5/17/07,5/17/14,,Johnson & Johnson Pharmaceutical Research & Dev.,"920 US Highway 202, P. O. Box 300",,Raritan,,08869 ',United States,191704,For use In combination with bortezomib For patients with multiple myeloma who have not previously received bortezomib and have at least one prior therapy.
Doxorubicin liposome,Doxil,11/4/98,Treatment of ovarian cancer.,Designated/Approved,,,"Treatment of metastatic carcinoma of the ovary in patients with disease that is refractory to both paclitaxel- and platinium-based chemotherapy regimens. Refractory disease is defined as disease that has progressed while on treatment, or within 6 months of completing treatment.",6/28/99,6/28/06,,Alza Corporation,1550 Plymouth St.,PO Box 7210,Mountain View,California,94039 ',United States,117398,"For metastatic carcinoma of the ovary in patients with disease that is refractory to both paclitaxel- and platinium-based chemotherapy regimens. Refractory disease is defined as disease that has progressed while on treatment, or within 6 months of completing treatment."
Dronabinol,Marinol,1/15/91,For the stimulation of appetite and prevention of weight loss in patients with a confirmed diagnosis of AIDS.,Designated/Approved,,,Treatment of anorexia associated with weight loss in patients with AIDS.,12/22/92,12/22/99,,"Unimed Pharmaceuticals, Inc.",901 Sawyer Rd.,,Marietta,Georgia,30062 ',United States,54890,For anorexia associated with weight loss in patients with AIDS.
droxidopa,NORTHERA,1/17/07,"Treatment of neurogenic symptomatic orthostatic hypotension in patients with primary autonomic failure, dopamine-beta-hydroxylase deficiency, and nondiabetic autonomic neuropathy.",Designated/Approved,,,"Treatment of orthostatic dizziness, lightheadedness, or the ""feeling that you are about to black out"" in adult patients with symptomatic neurogenic orthostatic hypotension caused by primary autonomic failure (Parkinson's disease, multiple system atrophy, and pure autonomic failure), dopamine beta-hydroxylase deficiency, and non-diabetic autonomic neuropathy.",2/18/14,2/18/21,"Treatment of orthostatic dizziness, lightheadedness, or the ""feeling that you are about to black out"" in adult patients with symptomatic neurogenic orthostatic hypotension caused by primary autonomic failure (Parkinson's disease, multiple system atrophy, and pure autonomic failure), dopamine beta-hydroxylase deficiency, and non-diabetic autonomic neuropathy.",Lundbeck LLC,"3530 Toringdon Way, Suite 200",,Charlotte,North Carolina,28277 ',United States,229506,"For orthostatic dizziness, lightheadedness, or the ""feeling that you are about to black out"" in adult patients with symptomatic neurogenic orthostatic hypotension caused by primary autonomic failure (Parkinson's disease, multiple system atrophy, and pure autonomic failure), dopamine beta-hydroxylase deficiency, and non-diabetic autonomic neuropathy."
dupilumab,Dupixent,9/5/17,Treatment of eosinophilic esophagitis,Designated/Approved,,,"Treatment of adult and pediatric patients aged 12 years and older, weighing at least 40 kg, with eosinophilic esophagitis (EoE)",5/20/22,5/20/29,"Treatment of adult and pediatric patients aged 12 years and older, weighing at least 40 kg, with eosinophilic esophagitis (EoE)","Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,10591 ',United States,599317,"For adult and pediatric patients aged 12 years and older, weighing at least 40 kg, with eosinophilic esophagitis (EoE)"
dupilumab,Dupixent,9/5/17,Treatment of eosinophilic esophagitis,Designated/Approved,,,"treatment of adult and pediatric patients aged 1 year and older, weighing at least 15 kg, with eosinophilic esophagitis (EoE)",1/25/24,1/25/31,treatment of pediatric patients aged 1 year and older weighing at least 15 kg who are less than 12 years of age or less than 40 kg in weight with eosinophilic esophagitis (EoE),"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,10591 ',United States,599317,"For adult and pediatric patients aged 1 year and older, weighing at least 15 kg, with eosinophilic esophagitis (EoE)"
